Case,Activity,Timestamp,Resource,label
2782209,by law,2010-11-15 11:07:07,560890,regular
2782209,creating environmental permit decision,2010-11-15 11:07:09,560890,regular
2782209,decision date prior to decision,2010-11-15 11:20:39,560890,regular
2782209,generating decision environmental permit,2010-11-15 11:20:39,560890,regular
2782209,register date environmental permit decision,2010-11-15 23:00:00,560890,regular
2782209,register objection and appeal periods,2010-11-16 09:58:25,560890,regular
2782209,transcript decision environmental permit to stakeholders,2010-11-16 10:30:00,560890,regular
2782209,generate publication document decision environmental permit,2010-11-16 10:38:31,560890,regular
2782209,enter senddate procedure confirmation,2010-11-17 23:00:00,560890,regular
2782209,subcases completeness completed,2010-11-17 23:00:00,560890,regular
2782209,enter senddate decision environmental permit,2010-11-18 23:00:00,560890,regular
2782209,enter date publication decision environmental permit,2010-11-23 23:00:00,560890,regular
2783345,register submission date request,2010-10-06 22:00:00,2670601,deviant
2783345,enter senddate procedure confirmation,2010-10-10 22:00:00,2670601,deviant
2783345,enter senddate procedure confirmation,2010-10-10 22:00:00,2670601,deviant
2783345,registrer date of publishing received request,2010-10-10 22:00:00,2670601,deviant
2783345,subcases completeness completed,2010-10-10 22:00:00,2670601,deviant
2783345,enter senddate procedure confirmation,2010-10-18 22:00:00,2670601,deviant
2783345,subcases completeness completed,2010-10-18 22:00:00,2670601,deviant
2783345,enter senddate retrieve missing data,2010-11-16 23:00:00,2670601,deviant
2783345,enter receipt of additional data,2010-11-23 23:00:00,2670601,deviant
2783345,phase application received,2010-12-01 09:27:11,2670601,deviant
2783345,reception through OLO,2010-12-01 09:27:17,2670601,deviant
2783345,send confirmation receipt,2010-12-01 09:27:17,2670601,deviant
2783345,forward to the competent authority,2010-12-01 09:27:23,2670601,deviant
2783345,regular procedure without MER,2010-12-01 09:27:30,2670601,deviant
2783345,send procedure confirmation,2010-12-01 09:27:32,2670601,deviant
2783345,extend procedure term,2010-12-01 09:27:48,2670601,deviant
2783345,registrer date of publishing received request,2010-12-01 09:27:52,2670601,deviant
2783345,treat subcases completeness,2010-12-01 09:28:03,2670601,deviant
2783345,subcases completeness completed,2010-12-01 09:28:06,2670601,deviant
2783345,WAW permit aspect,2010-12-01 09:28:14,2670601,deviant
2783345,activities regular procedure,2010-12-01 09:28:21,2670601,deviant
2783345,procedure change,2010-12-01 09:28:21,2670601,deviant
2783345,regular procedure applies,2010-12-01 09:28:25,2670601,deviant
2783345,resume completeness subcases,2010-12-01 09:28:25,2670601,deviant
2783345,send procedure confirmation,2010-12-01 09:28:25,2670601,deviant
2783345,request complete,2010-12-01 09:30:11,2670601,deviant
2783345,send letter in progress,2010-12-01 09:30:11,2670601,deviant
2783345,term for supplying missing data,2010-12-01 09:30:35,2670601,deviant
2783345,retrieve missing data,2010-12-01 09:30:39,2670601,deviant
2783345,receive additional information,2010-12-01 09:33:03,2670601,deviant
2783345,MER present in supplement,2010-12-01 09:36:08,2670601,deviant
2783345,WAW permit aspect,2010-12-01 09:36:21,2670601,deviant
2783345,treat subcases completeness,2010-12-01 09:36:39,2670601,deviant
2783345,subcases completeness completed,2010-12-01 09:36:43,2670601,deviant
2783345,activities regular procedure,2010-12-01 09:36:55,2670601,deviant
2783345,procedure change,2010-12-01 09:36:55,2670601,deviant
2783345,regular procedure applies,2010-12-01 09:37:01,2670601,deviant
2783345,resume completeness subcases,2010-12-01 09:37:01,2670601,deviant
2783345,send procedure confirmation,2010-12-01 09:37:01,2670601,deviant
2783345,phase application receptive,2010-12-01 09:37:29,2670601,deviant
2783345,request complete,2010-12-01 09:37:29,2670601,deviant
2783345,send letter in progress,2010-12-01 09:37:29,2670601,deviant
2783345,send letter in progress,2010-12-01 09:37:29,2670601,deviant
2783345,WAW permit aspect,2010-12-01 09:37:35,2670601,deviant
2783345,treat subcases content,2010-12-01 09:37:45,2670601,deviant
2783345,completed subcases content,2010-12-01 09:37:49,2670601,deviant
2783345,article 34  WABO applies,2010-12-01 09:37:57,2670601,deviant
2783345,assessment of content completed,2010-12-01 09:38:00,2670601,deviant
2783345,phase advice known,2010-12-01 09:38:00,2670601,deviant
2783345,grounds for refusal,2010-12-01 09:38:04,2670601,deviant
2783345,terminate on request,2010-12-01 09:38:28,2670601,deviant
2783345,applicant is stakeholder,2010-12-01 09:38:34,2670601,deviant
2783345,inform BAG administrator,2010-12-01 09:38:34,2670601,deviant
2783345,ask stakeholders views,2010-12-01 09:38:59,2670601,deviant
2783345,suspension ground applicable,2010-12-01 09:39:05,2670601,deviant
2783345,by law,2010-12-01 09:39:10,2670601,deviant
2783345,creating environmental permit decision,2010-12-01 09:39:10,2670601,deviant
2783345,enter senddate decision environmental permit,2010-12-05 23:00:00,560890,deviant
2783345,register date environmental permit decision,2010-12-05 23:00:00,560890,deviant
2783345,decision date prior to decision,2010-12-06 11:19:25,560890,deviant
2783345,generating decision environmental permit,2010-12-06 11:19:25,560890,deviant
2783345,register objection and appeal periods,2010-12-06 11:19:37,560890,deviant
2783345,transcript decision environmental permit to stakeholders,2010-12-06 11:30:23,560890,deviant
2783345,generate publication document decision environmental permit,2010-12-06 11:30:41,560890,deviant
2783345,enter date publication decision environmental permit,2010-12-14 23:00:00,560890,deviant
2794023,register submission date request,2010-10-11 22:00:00,560872,regular
2794023,phase application received,2010-10-14 11:42:23,560872,regular
2794023,reception through OLO,2010-10-14 11:43:34,560872,regular
2794023,send confirmation receipt,2010-10-14 11:43:34,560872,regular
2794023,forward to the competent authority,2010-10-14 11:43:39,560872,regular
2794023,regular procedure without MER,2010-10-14 11:43:49,560872,regular
2794023,enter senddate procedure confirmation,2010-10-14 22:00:00,560872,regular
2794023,send procedure confirmation,2010-10-15 10:53:09,560872,regular
2794023,registrer date of publishing received request,2010-10-15 10:54:46,560872,regular
2794023,WAW permit aspect,2010-10-15 10:55:28,560872,regular
2794023,applicant is stakeholder,2010-10-15 10:55:41,560872,regular
2794023,inform BAG administrator,2010-10-15 10:55:41,560872,regular
2794023,registrer date of publishing received request,2010-10-26 22:00:00,560872,regular
2794023,enter date decision procedure term extension,2010-11-28 23:00:00,560890,regular
2794023,extend procedure term,2010-11-29 11:31:49,560890,regular
2794023,creating decision procedure term extension,2010-11-29 11:31:51,560890,regular
2794023,register number of days extension period,2010-11-29 11:33:14,560890,regular
2794023,decision procedure term extension,2010-11-29 11:33:20,560890,regular
2794023,enter objectionterm,2010-11-29 11:55:44,560890,regular
2794023,copy decision to extend procedure to stakeholders,2010-11-29 11:55:51,560890,regular
2794023,enter senddate decision procedure term extension,2010-11-29 23:00:00,560890,regular
2794023,enter date termination request received,2010-12-06 23:00:00,560890,regular
2794023,enter senddate confirmation request,2010-12-06 23:00:00,560890,regular
2794023,enter senddate request termination,2010-12-06 23:00:00,560890,regular
2794023,register date decision terminate on request,2010-12-06 23:00:00,560890,regular
2794023,terminate on request,2010-12-07 10:21:50,560890,regular
2794023,create decision terminate on request,2010-12-07 10:22:14,560890,regular
2794023,message terminate request,2010-12-07 10:22:14,560890,regular
2794023,decision terminate on request,2010-12-07 10:22:30,560890,regular
2794023,cancel BAG objects research,2010-12-07 10:30:08,560890,regular
2794023,phase procedure aborted,2010-12-07 10:30:08,560890,regular
2794023,stop process after terminate on request,2010-12-07 10:30:08,560890,regular
2797217,enter senddate acknowledgement,2010-10-11 22:00:00,560872,regular
2797217,register submission date request,2010-10-11 22:00:00,560872,regular
2797217,enter senddate procedure confirmation,2010-10-14 22:00:00,560872,regular
2797217,enter senddate procedure confirmation,2010-10-14 22:00:00,560872,regular
2797217,subcases completeness completed,2010-10-14 22:00:00,560872,regular
2797217,phase application received,2010-10-15 08:21:40,560872,regular
2797217,reception through OLO,2010-10-15 08:21:48,560872,regular
2797217,send confirmation receipt,2010-10-15 08:21:48,560872,regular
2797217,send confirmation receipt,2010-10-15 08:22:07,560872,regular
2797217,forward to the competent authority,2010-10-15 08:23:54,560872,regular
2797217,regular procedure without MER,2010-10-15 08:25:19,560872,regular
2797217,send procedure confirmation,2010-10-15 09:33:01,560872,regular
2797217,extend procedure term,2010-10-15 09:34:43,560872,regular
2797217,registrer date of publishing received request,2010-10-15 09:45:42,560872,regular
2797217,WAW permit aspect,2010-10-15 09:47:24,560872,regular
2797217,applicant is stakeholder,2010-10-15 10:02:19,560872,regular
2797217,inform BAG administrator,2010-10-15 10:02:19,560872,regular
2797217,treat subcases completeness,2010-10-25 13:21:50,560872,regular
2797217,terminate on request,2010-10-25 13:22:03,560872,regular
2797217,subcases completeness completed,2010-10-25 13:22:21,560872,regular
2797217,activities regular procedure,2010-10-25 13:22:29,560872,regular
2797217,procedure change,2010-10-25 13:22:29,560872,regular
2797217,regular procedure applies,2010-10-25 13:22:32,560872,regular
2797217,resume completeness subcases,2010-10-25 13:22:32,560872,regular
2797217,send procedure confirmation,2010-10-25 13:22:32,560872,regular
2797217,phase application receptive,2010-10-25 13:22:59,560872,regular
2797217,request complete,2010-10-25 13:22:59,560872,regular
2797217,send letter in progress,2010-10-25 13:22:59,560872,regular
2797217,send letter in progress,2010-10-25 13:22:59,560872,regular
2797217,WAW permit aspect,2010-10-25 13:23:05,560872,regular
2797217,treat subcases content,2010-10-25 13:23:15,560872,regular
2797217,completed subcases content,2010-10-25 13:23:17,560872,regular
2797217,article 34  WABO applies,2010-10-25 13:23:23,560872,regular
2797217,assessment of content completed,2010-10-25 13:23:25,560872,regular
2797217,phase advice known,2010-10-25 13:23:25,560872,regular
2797217,grounds for refusal,2010-10-25 13:23:30,560872,regular
2797217,ask stakeholders views,2010-10-25 13:23:39,560872,regular
2797217,suspension ground applicable,2010-10-25 13:23:45,560872,regular
2797217,by law,2010-10-25 13:23:49,560872,regular
2797217,creating environmental permit decision,2010-10-25 13:23:49,560872,regular
2797217,decision date prior to decision,2010-10-25 13:23:52,560872,regular
2797217,generating decision environmental permit,2010-10-25 13:23:52,560872,regular
2797217,register objection and appeal periods,2010-10-25 13:24:22,560872,regular
2797217,transcript decision environmental permit to stakeholders,2010-10-25 13:34:54,560872,regular
2797217,generate publication document decision environmental permit,2010-10-25 13:35:05,560872,regular
2797217,register date environmental permit decision,2010-10-25 22:00:00,560872,regular
2797217,registrer date of publishing received request,2010-10-26 22:00:00,560872,regular
2797217,enter senddate decision environmental permit,2010-10-31 23:00:00,560872,regular
2797217,enter date publication decision environmental permit,2010-11-02 23:00:00,560872,regular
2797217,objection lodged against decision,2011-01-17 14:36:35,560872,regular
2797217,set phase: phase permitting irrevocable,2011-01-17 14:37:23,560872,regular
2797217,close case,2011-01-17 14:38:06,560872,regular
2797217,register deadline,2011-01-17 14:38:06,560872,regular
2799076,register submission date request,2010-10-12 22:00:00,560912,deviant
2799076,phase application received,2010-10-19 10:47:20,560912,deviant
2817543,register submission date request,2010-10-21 22:00:00,560925,deviant
2817543,enter senddate acknowledgement,2010-10-24 22:00:00,560925,deviant
2817543,enter senddate procedure confirmation,2010-10-24 22:00:00,560872,deviant
2817543,phase application received,2010-10-25 07:33:31,560925,deviant
2817543,reception through OLO,2010-10-25 07:33:50,560925,deviant
2817543,send confirmation receipt,2010-10-25 07:33:50,560925,deviant
2817543,send confirmation receipt,2010-10-25 07:37:23,560925,deviant
2817543,forward to the competent authority,2010-10-25 07:37:42,560925,deviant
2817543,regular procedure without MER,2010-10-25 07:37:52,560925,deviant
2817543,MER present,2010-10-25 07:38:00,560925,deviant
2817543,activities regular procedure,2010-10-25 07:38:07,560925,deviant
2817543,phased application,2010-10-25 07:38:16,560925,deviant
2817543,first or second phase,2010-10-25 07:38:21,560925,deviant
2817543,term 14 or 26 weeks,2010-10-25 07:38:42,560925,deviant
2817543,send procedure confirmation,2010-11-02 08:06:18,560950,deviant
2817543,enter senddate procedure confirmation,2010-11-03 23:00:00,560950,deviant
2817543,enter senddate procedure confirmation,2010-12-06 23:00:00,560872,deviant
2817543,enter senddate retrieve missing data,2010-12-06 23:00:00,560872,deviant
2817543,publish,2010-12-09 11:10:44,560950,deviant
2817543,extend procedure term,2010-12-09 11:10:49,560950,deviant
2817543,treat subcases completeness,2010-12-09 11:13:44,560950,deviant
2817543,WAW permit aspect,2010-12-09 11:21:28,560950,deviant
2817543,applicant is stakeholder,2010-12-09 11:22:04,560950,deviant
2817543,inform BAG administrator,2010-12-09 11:22:04,560950,deviant
2817543,terminate on request,2010-12-09 11:22:14,560950,deviant
2817543,subcases completeness completed,2010-12-09 11:22:26,560950,deviant
2817543,activities regular procedure,2010-12-09 11:22:40,560950,deviant
2817543,procedure change,2010-12-09 11:22:40,560950,deviant
2817543,enter receipt of additional data,2010-12-28 23:00:00,560872,deviant
2817543,detailed procedure applies,2011-01-10 11:49:19,560872,deviant
2817543,request complete,2011-01-10 11:50:32,560872,deviant
2817543,send letter in progress,2011-01-10 11:50:32,560872,deviant
2817543,term for supplying missing data,2011-01-10 11:50:51,560872,deviant
2817543,retrieve missing data,2011-01-10 11:50:55,560872,deviant
2817543,receive additional information,2011-01-10 11:51:09,560872,deviant
2817543,WAW permit aspect,2011-03-03 15:45:57,560462,deviant
2817543,treat subcases completeness,2011-03-04 11:30:14,560872,deviant
2817543,subcases completeness completed,2011-03-04 11:30:16,560872,deviant
2817543,activities regular procedure,2011-03-04 11:30:27,560872,deviant
2817543,procedure change,2011-03-04 11:30:27,560872,deviant
2817543,detailed procedure applies,2011-03-04 11:30:34,560872,deviant
2817543,phase application receptive,2011-03-04 11:31:47,560872,deviant
2817543,request complete,2011-03-04 11:31:47,560872,deviant
2817543,send letter in progress,2011-03-04 11:31:47,560872,deviant
2817543,send letter in progress,2011-03-04 11:31:47,560872,deviant
2817543,WAW permit aspect,2011-03-04 11:31:54,560872,deviant
2817543,treat subcases content,2011-03-04 11:32:02,560872,deviant
2817543,completed subcases content,2011-03-04 11:32:06,560872,deviant
2817543,article 34  WABO applies,2011-03-04 11:32:10,560872,deviant
2817543,assessment of content completed,2011-03-04 11:32:15,560872,deviant
2817543,phase advice known,2011-03-04 11:32:15,560872,deviant
2817543,create draft environtmental permit,2011-03-04 11:32:18,560872,deviant
2817543,grounds for refusal,2011-03-04 11:32:18,560872,deviant
2817543,generate draft decision environmental permit,2011-03-04 11:32:23,560872,deviant
2817543,phase concept draft decision ready,2011-03-04 11:32:23,560872,deviant
2817543,decided on draft decision environmental permit,2011-03-04 11:34:39,560872,deviant
2817543,enrich draft decision,2011-03-04 11:34:48,560872,deviant
2817543,phase draft decision made,2011-03-04 11:34:54,560872,deviant
2817543,open draft decision for inspection,2011-03-04 11:34:59,560872,deviant
2817543,term perspective on draft decision,2011-03-04 11:35:21,560872,deviant
2817543,phase draft decision made,2011-03-04 11:36:06,560872,deviant
2817543,publish official draft decision,2011-03-04 11:36:06,560872,deviant
2817543,send design decision to stakeholders,2011-03-04 11:43:35,560872,deviant
2817543,enter date advice on treatment of environmental permit,2011-03-07 23:00:00,560872,deviant
2817543,enter date draft decisionenvironmental permit,2011-03-07 23:00:00,560872,deviant
2817543,entering senddate draft decision environmental permit,2011-03-13 23:00:00,560872,deviant
2817543,date draft decision for inspection,2011-03-16 23:00:00,560872,deviant
2817543,register date environmental permit decision,2011-05-09 22:00:00,560462,deviant
2817543,perspective on draft decision environmental permit received,2011-05-12 09:40:14,560462,deviant
2817543,suspension ground applicable,2011-05-12 09:40:23,560462,deviant
2817543,by law,2011-05-12 09:40:31,560462,deviant
2817543,creating environmental permit decision,2011-05-12 09:40:31,560462,deviant
2817543,decision date prior to decision,2011-05-12 09:41:28,560462,deviant
2817543,generating decision environmental permit,2011-05-12 09:41:28,560462,deviant
2817543,register objection and appeal periods,2011-05-12 10:08:01,560462,deviant
2817543,transcript decision environmental permit to stakeholders,2011-05-12 13:01:02,560872,deviant
2817543,generate publication document decision environmental permit,2011-05-12 13:01:18,560872,deviant
2817543,enter senddate decision environmental permit,2011-05-15 22:00:00,560872,deviant
2817543,enter date publication decision environmental permit,2011-05-17 22:00:00,560872,deviant
2817543,appeal logded,2011-07-08 11:34:12,560881,deviant
2817543,set phase: phase permitting irrevocable,2011-07-08 11:34:20,560881,deviant
2817543,close case,2011-07-08 11:34:27,560881,deviant
2830183,register submission date request,2010-10-21 22:00:00,560925,regular
2830183,enter senddate procedure confirmation,2010-11-01 23:00:00,560925,regular
2830183,phase application received,2010-11-02 13:41:01,560925,regular
2830183,reception through OLO,2010-11-02 13:41:08,560925,regular
2830183,send confirmation receipt,2010-11-02 13:41:08,560925,regular
2830183,forward to the competent authority,2010-11-02 13:41:14,560925,regular
2830183,regular procedure without MER,2010-11-02 13:41:19,560925,regular
2830183,send procedure confirmation,2010-11-02 13:46:26,560925,regular
2830183,registrer date of publishing received request,2010-11-02 14:05:29,560925,regular
2830183,registrer date of publishing received request,2010-11-09 23:00:00,560925,regular
2830183,enter senddate procedure confirmation,2010-12-07 23:00:00,560881,regular
2830183,subcases completeness completed,2010-12-07 23:00:00,560881,regular
2830183,treat subcases completeness,2010-12-08 15:44:58,560881,regular
2830183,subcases completeness completed,2010-12-08 15:45:00,560881,regular
2830183,WAW permit aspect,2010-12-08 15:45:07,560881,regular
2830183,activities regular procedure,2010-12-08 15:45:11,560881,regular
2830183,procedure change,2010-12-08 15:45:11,560881,regular
2830183,regular procedure applies,2010-12-08 15:45:20,560881,regular
2830183,resume completeness subcases,2010-12-08 15:45:20,560881,regular
2830183,send procedure confirmation,2010-12-08 15:45:20,560881,regular
2830183,phase application receptive,2010-12-08 15:45:32,560881,regular
2830183,request complete,2010-12-08 15:45:32,560881,regular
2830183,send letter in progress,2010-12-08 15:45:32,560881,regular
2830183,send letter in progress,2010-12-08 15:45:32,560881,regular
2830183,WAW permit aspect,2010-12-08 15:45:37,560881,regular
2830183,treat subcases content,2010-12-08 15:45:42,560881,regular
2830183,completed subcases content,2010-12-08 15:45:44,560881,regular
2830183,article 34  WABO applies,2010-12-08 15:45:48,560881,regular
2830183,assessment of content completed,2010-12-08 15:45:49,560881,regular
2830183,phase advice known,2010-12-08 15:45:49,560881,regular
2830183,grounds for refusal,2010-12-08 15:45:52,560881,regular
2830183,register date environmental permit decision,2010-12-13 23:00:00,560890,regular
2830183,applicant is stakeholder,2010-12-14 11:20:16,560890,regular
2830183,inform BAG administrator,2010-12-14 11:20:16,560890,regular
2830183,terminate on request,2010-12-14 11:21:48,560890,regular
2830183,extend procedure term,2010-12-14 11:21:52,560890,regular
2830183,ask stakeholders views,2010-12-14 11:22:03,560890,regular
2830183,suspension ground applicable,2010-12-14 11:22:08,560890,regular
2830183,by law,2010-12-14 11:22:12,560890,regular
2830183,creating environmental permit decision,2010-12-14 11:22:12,560890,regular
2830183,decision date prior to decision,2010-12-14 11:22:20,560890,regular
2830183,generating decision environmental permit,2010-12-14 11:22:20,560890,regular
2830183,register objection and appeal periods,2010-12-14 11:22:40,560890,regular
2830183,transcript decision environmental permit to stakeholders,2010-12-14 11:23:35,560890,regular
2838476,register submission date request,2010-10-25 22:00:00,560925,regular
2838476,enter senddate procedure confirmation,2010-11-03 23:00:00,560925,regular
2838476,phase application received,2010-11-04 11:17:57,560925,regular
2838476,reception through OLO,2010-11-04 11:18:04,560925,regular
2838476,send confirmation receipt,2010-11-04 11:18:04,560925,regular
2838476,forward to the competent authority,2010-11-04 11:18:12,560925,regular
2838476,regular procedure without MER,2010-11-04 11:18:18,560925,regular
2838476,send procedure confirmation,2010-11-04 11:24:25,560925,regular
2838476,registrer date of publishing received request,2010-11-04 14:23:47,560925,regular
2838476,WAW permit aspect,2010-11-04 14:24:21,560925,regular
2838476,applicant is stakeholder,2010-11-04 14:24:28,560925,regular
2838476,inform BAG administrator,2010-11-04 14:24:28,560925,regular
2838476,treat subcases completeness,2010-11-04 14:26:31,560925,regular
2838476,registrer date of publishing received request,2010-11-16 23:00:00,560925,regular
2838476,enter senddate procedure confirmation,2010-12-12 23:00:00,2670601,regular
2838476,subcases completeness completed,2010-12-12 23:00:00,2670601,regular
2838476,terminate on request,2010-12-13 12:03:58,2670601,regular
2838476,extend procedure term,2010-12-13 12:04:05,2670601,regular
2838476,subcases completeness completed,2010-12-13 12:04:08,2670601,regular
2838476,activities regular procedure,2010-12-13 12:04:23,2670601,regular
2838476,procedure change,2010-12-13 12:04:23,2670601,regular
2838476,regular procedure applies,2010-12-13 12:04:49,2670601,regular
2838476,resume completeness subcases,2010-12-13 12:04:49,2670601,regular
2838476,send procedure confirmation,2010-12-13 12:04:49,2670601,regular
2838476,phase application receptive,2010-12-13 12:05:07,2670601,regular
2838476,request complete,2010-12-13 12:05:07,2670601,regular
2838476,send letter in progress,2010-12-13 12:05:07,2670601,regular
2838476,send letter in progress,2010-12-13 12:05:07,2670601,regular
2838476,WAW permit aspect,2010-12-13 12:05:11,2670601,regular
2838476,treat subcases content,2010-12-13 12:05:16,2670601,regular
2838476,completed subcases content,2010-12-13 12:05:18,2670601,regular
2838476,article 34  WABO applies,2010-12-13 12:05:21,2670601,regular
2838476,assessment of content completed,2010-12-13 12:05:24,2670601,regular
2838476,phase advice known,2010-12-13 12:05:24,2670601,regular
2838476,grounds for refusal,2010-12-13 12:05:28,2670601,regular
2838476,ask stakeholders views,2010-12-14 12:07:08,560890,regular
