Case,Activity,Timestamp,Resource,Injection
22,EVENT 13 END,05:44.4,,
,,,,
23,Check for completeness,48:40.7,Clerk-000006,
,,,,
23,New online application received,48:40.7,,
,,,,
23,Perform checks,52:31.9,Clerk-000003,
,,,,
23,Make decision,56:22.9,Manager-000002,
,,,,
23,notify reject,03:41.8,Manager-000003,
,,,,
23,review request received,17:46.8,,
,,,,
23,Check for completeness,17:56.8,Clerk-000005,
,,,,
23,Perform checks,21:12.5,Clerk-000001,
,,,,
23,Make decision,21:30.2,Manager-000005,
,,,,
23,Notify accept,31:32.5,Manager-000006,
,,,,
23,Deliver card,34:27.4,Manager-000001,
,,,,
23,EVENT 13 END,38:10.1,,
,,,,
24,Check for completeness,06:13.8,Clerk-000004,
,,,,
24,New online application received,06:13.8,,
,,,,
24,Perform checks,09:30.9,Clerk-000002,
,,,,
24,Make decision,18:57.4,Manager-000004,
,,,,
24,Notify accept,19:56.1,Manager-000002,
,,,,
24,Deliver card,21:26.3,Manager-000003,
,,,,
24,EVENT 13 END,34:57.7,,
,,,,
25,Check for completeness,15:15.5,Clerk-000006,
,,,,
25,New online application received,15:15.5,,
,,,,
25,Perform checks,26:30.2,Clerk-000005,
,,,,
25,Make decision,46:42.6,Manager-000006,
,,,,
25,Notify accept,47:25.8,Manager-000001,
,,,,
25,Deliver card,51:11.5,Manager-000002,
,,,,
25,EVENT 13 END,05:45.7,,
,,,,
26,Check for completeness,24:49.7,Clerk-000003,
,,,,
26,New online application received,24:49.7,,
,,,,
26,Request info,35:50.1,Manager-000005,
,,,,
26,info received,59:33.5,,
,,,,
26,Check for completeness,59:43.5,Clerk-000004,
,,,,
26,Request info,04:34.1,Manager-000003,
,,,,
26,info received,04:42.7,,
,,,,
26,Check for completeness,04:52.7,Clerk-000006,
,,,,
26,Request info,13:27.9,Manager-000006,
,,,,
26,info received,21:03.6,,
,,,,
26,Check for completeness,21:13.6,Clerk-000003,
,,,,
26,Perform checks,31:33.8,Clerk-000004,
,,,,
26,Make decision,50:26.0,Manager-000005,
,,,,
26,notify reject,57:26.4,Manager-000004,
,,,,
26,review request received,17:17.9,,
,,,,
26,Check for completeness,17:27.9,Clerk-000004,
,,,,
26,Request info,18:16.1,Manager-000006,
,,,,
26,info received,33:00.9,,
,,,,
26,Check for completeness,33:10.9,Clerk-000006,
,,,,
26,Request info,44:00.9,Manager-000005,
,,,,
26,info received,49:04.6,,
,,,,
26,Check for completeness,49:14.6,Clerk-000002,
,,,,
26,Perform checks,59:28.5,Clerk-000001,
,,,,
26,Make decision,00:23.5,Manager-000004,
,,,,
26,notify reject,07:29.8,Manager-000003,
,,,,
26,time out,10:28.6,,
,,,,
26,EVENT 13 END,10:38.6,,
,,,,
39,Check for completeness,25:38.6,Clerk-000004,
,,,,
39,New online application received,25:38.6,,
,,,,
39,Request info,29:04.4,Manager-000002,
,,,,
39,info received,42:11.9,,
,,,,
39,Check for completeness,42:21.9,Clerk-000006,
,,,,
39,Perform checks,48:55.8,Clerk-000001,
,,,,
39,Make decision,55:27.7,Manager-000006,
,,,,
39,Notify accept,18:53.5,Manager-000001,
,,,,
39,Deliver card,30:31.6,Manager-000004,
,,,,
39,EVENT 13 END,43:24.0,,
,,,,
41,Check for completeness,33:27.8,Clerk-000003,
,,,,
41,New online application received,33:27.8,,
,,,,
41,Request info,47:35.0,Manager-000002,
,,,,
41,info received,47:50.0,,
,,,,
41,Check for completeness,48:00.0,Clerk-000004,
,,,,
41,Request info,49:49.1,Manager-000006,
,,,,
41,info received,11:34.7,,
,,,,
41,Check for completeness,11:44.7,Clerk-000006,
,,,,
41,Perform checks,13:41.8,Clerk-000001,
,,,,
41,Make decision,15:28.2,Manager-000001,
,,,,
41,Notify accept,50:30.1,Manager-000004,
,,,,
41,Deliver card,54:08.4,Manager-000005,
,,,,
41,EVENT 13 END,58:27.4,,
,,,,
45,Check for completeness,18:12.2,Clerk-000002,
,,,,
45,New online application received,18:12.2,,
,,,,
45,Perform checks,21:51.5,Clerk-000003,
,,,,
45,Make decision,29:48.5,Manager-000003,
,,,,
45,notify reject,31:41.7,Manager-000006,
,,,,
45,review request received,33:58.5,,
,,,,
45,Check for completeness,34:08.5,Clerk-000005,
,,,,
45,Request info,43:33.7,Manager-000004,
,,,,
45,info received,57:20.8,,
,,,,
45,Check for completeness,57:30.8,Clerk-000002,
,,,,
45,Perform checks,24:14.0,Clerk-000005,
,,,,
45,Make decision,27:57.0,Manager-000005,
,,,,
45,Notify accept,36:32.7,Manager-000003,
,,,,
45,Deliver card,44:50.1,Manager-000002,
,,,,
45,EVENT 13 END,13:55.6,,
,,,,
53,Check for completeness,47:10.2,Clerk-000005,
,,,,
53,New online application received,47:10.2,,
,,,,
53,Perform checks,54:34.1,Clerk-000002,
,,,,
53,Make decision,59:22.8,Manager-000006,
,,,,
53,notify reject,02:04.0,Manager-000002,
,,,,
53,time out,04:49.9,,
,,,,
53,EVENT 13 END,04:59.9,,
,,,,
54,Check for completeness,53:16.4,Clerk-000003,
,,,,
54,New online application received,53:16.4,,
,,,,
54,Request info,53:37.7,Manager-000001,
,,,,
54,info received,55:25.5,,
,,,,
54,Check for completeness,55:35.5,Clerk-000003,
,,,,
54,Perform checks,51:51.2,Clerk-000002,
,,,,
54,Make decision,55:54.3,Manager-000005,
,,,,
54,Notify accept,02:06.5,Manager-000002,
,,,,
54,Deliver card,05:44.4,Manager-000006,
,,,,
54,EVENT 13 END,06:41.1,,
,,,,
58,Check for completeness,09:22.7,Clerk-000001,
,,,,
58,New online application received,09:22.7,,
,,,,
58,Request info,48:22.4,Manager-000003,
,,,,
58,info received,48:55.3,,
,,,,
58,Check for completeness,49:05.3,Clerk-000002,
,,,,
58,Request info,07:32.3,Manager-000005,
,,,,
58,info received,10:28.6,,
,,,,
58,Check for completeness,10:38.6,Clerk-000001,
,,,,
58,Request info,12:11.2,Manager-000001,
,,,,
58,info received,16:03.2,,
,,,,
58,Check for completeness,16:13.1,Clerk-000006,
,,,,
58,Request info,43:56.9,Manager-000002,
,,,,
58,info received,46:42.2,,
,,,,
58,Check for completeness,46:52.2,Clerk-000004,
,,,,
58,Perform checks,52:42.4,Clerk-000001,
,,,,
58,Make decision,08:37.8,Manager-000005,
,,,,
58,Notify accept,13:21.7,Manager-000002,
,,,,
58,Deliver card,15:19.4,Manager-000006,
,,,,
58,EVENT 13 END,32:08.8,,
,,,,
60,Check for completeness,40:34.8,Clerk-000003,
,,,,
60,New online application received,40:34.8,,
,,,,
60,Request info,47:46.1,Manager-000004,
,,,,
60,info received,57:43.2,,
,,,,
60,Check for completeness,57:53.2,Clerk-000004,
,,,,
60,Request info,21:41.2,Manager-000002,
,,,,
60,info received,30:01.9,,
,,,,
60,Check for completeness,30:11.9,Clerk-000001,
,,,,
60,Perform checks,37:12.4,Clerk-000003,
,,,,
60,Make decision,37:25.9,Manager-000001,
,,,,
60,Notify accept,43:32.6,Manager-000006,
,,,,
60,Deliver card,10:13.7,Manager-000004,
,,,,
60,EVENT 13 END,24:21.3,,
,,,,
61,Check for completeness,42:09.8,Clerk-000005,
,,,,
61,New online application received,42:09.8,,
,,,,
61,Perform checks,11:10.8,Clerk-000002,
,,,,
61,Make decision,17:28.1,Manager-000003,
,,,,
61,Notify accept,31:11.1,Manager-000005,
,,,,
61,Deliver card,48:30.4,Manager-000003,
,,,,
61,EVENT 13 END,51:09.0,,
,,,,
64,Check for completeness,30:11.6,Clerk-000002,
,,,,
64,New online application received,30:11.6,,
,,,,
64,Perform checks,30:46.7,Clerk-000005,
,,,,
64,Make decision,31:18.7,Manager-000002,
,,,,
64,notify reject,37:14.7,Manager-000003,
,,,,
64,time out,56:10.1,,
,,,,
64,EVENT 13 END,56:20.1,,
,,,,
68,Check for completeness,09:00.4,Clerk-000003,
,,,,
68,New online application received,09:00.4,,
,,,,
68,Perform checks,14:13.4,Clerk-000001,
,,,,
68,Make decision,25:34.6,Manager-000006,
,,,,
68,notify reject,36:38.0,Manager-000005,
,,,,
68,review request received,41:58.8,,
,,,,
68,Check for completeness,42:08.8,Clerk-000006,
,,,,
68,Perform checks,52:47.9,Clerk-000002,
,,,,
68,Make decision,12:03.9,Manager-000002,
,,,,
68,Notify accept,16:06.1,Manager-000003,
,,,,
68,Deliver card,26:32.7,Manager-000004,
,,,,
68,EVENT 13 END,41:24.8,,
,,,,
73,Check for completeness,49:18.7,Clerk-000003,
,,,,
73,New online application received,49:18.7,,
,,,,
73,Request info,56:44.8,Manager-000002,
,,,,
73,info received,09:10.0,,
,,,,
73,Check for completeness,09:20.0,Clerk-000004,
,,,,
73,Perform checks,09:25.9,Clerk-000005,
,,,,
73,Make decision,12:05.3,Manager-000001,
,,,,
73,notify reject,19:46.4,Manager-000005,
,,,,
73,review request received,23:09.4,,
,,,,
73,Check for completeness,23:19.4,Clerk-000003,
,,,,
73,Request info,57:22.2,Manager-000005,
,,,,
73,info received,04:14.7,,
,,,,
73,Check for completeness,04:24.7,Clerk-000002,
,,,,
73,Perform checks,41:34.0,Clerk-000005,
,,,,
73,Make decision,54:01.3,Manager-000003,
,,,,
73,notify reject,54:50.9,Manager-000006,
,,,,
73,time out,57:52.5,,
,,,,
73,EVENT 13 END,58:02.5,,
,,,,
85,Check for completeness,13:16.9,Clerk-000005,
,,,,
85,New online application received,13:16.9,,
,,,,
85,Request info,13:28.2,Manager-000005,
,,,,
85,info received,47:49.1,,
,,,,
85,Check for completeness,47:59.1,Clerk-000001,
,,,,
85,Request info,14:57.8,Manager-000005,
,,,,
85,info received,17:51.4,,
,,,,
85,Check for completeness,18:01.4,Clerk-000003,
,,,,
85,Perform checks,20:40.0,Clerk-000004,
,,,,
85,Make decision,26:41.3,Manager-000005,
,,,,
85,Notify accept,41:16.8,Manager-000006,
,,,,
85,Deliver card,55:56.6,Manager-000004,
,,,,
85,EVENT 13 END,59:57.3,,
,,,,
89,Check for completeness,05:18.4,Clerk-000002,
,,,,
89,New online application received,05:18.4,,
,,,,
89,Request info,07:16.3,Manager-000004,
,,,,
89,info received,09:33.3,,
,,,,
89,Check for completeness,09:43.3,Clerk-000004,
,,,,
89,Perform checks,12:01.2,Clerk-000005,
,,,,
89,Make decision,24:26.1,Manager-000006,
,,,,
89,notify reject,35:57.7,Manager-000003,
,,,,
89,time out,02:33.3,,
,,,,
89,EVENT 13 END,02:43.3,,
,,,,
97,Check for completeness,18:44.7,Clerk-000003,
,,,,
97,New online application received,18:44.7,,
,,,,
97,Perform checks,33:28.7,Clerk-000005,
,,,,
97,Make decision,51:56.4,Manager-000001,
,,,,
97,Notify accept,03:50.4,Manager-000003,
,,,,
97,Deliver card,05:08.7,Manager-000005,
,,,,
97,EVENT 13 END,12:11.3,,
,,,,
99,Check for completeness,15:58.9,Clerk-000002,
,,,,
99,New online application received,15:58.9,,
,,,,
99,Request info,26:57.0,Manager-000003,
,,,,
99,info received,30:47.3,,
,,,,
99,Check for completeness,30:57.3,Clerk-000003,
,,,,
99,Request info,32:51.7,Manager-000004,
,,,,
99,info received,45:29.4,,
,,,,
99,Check for completeness,45:39.4,Clerk-000005,
,,,,
99,Perform checks,57:21.2,Clerk-000006,
,,,,
99,Make decision,55:20.0,Manager-000005,
,,,,
99,Notify accept,57:00.6,Manager-000004,
,,,,
99,Deliver card,07:31.5,Manager-000006,
,,,,
99,EVENT 13 END,29:39.8,,
,,,,
100,Check for completeness,55:31.0,Clerk-000004,
,,,,
100,New online application received,55:31.0,,
,,,,
100,Perform checks,02:10.4,Clerk-000001,
,,,,
100,Make decision,04:14.8,Manager-000006,
,,,,
100,notify reject,14:49.0,Manager-000002,
,,,,
100,time out,15:17.1,,
,,,,
100,EVENT 13 END,15:27.1,,
,,,,
101,Check for completeness,15:16.0,Clerk-000002,
,,,,
101,New online application received,15:16.0,,
,,,,
101,Perform checks,16:25.7,Clerk-000003,
,,,,
101,Make decision,22:43.4,Manager-000001,
,,,,
101,notify reject,27:30.8,Manager-000003,
,,,,
101,time out,31:38.8,,
,,,,
101,EVENT 13 END,31:48.8,,
,,,,
106,Check for completeness,33:54.2,Clerk-000004,
,,,,
106,New online application received,33:54.2,,
,,,,
106,Perform checks,56:04.1,Clerk-000006,
,,,,
106,Make decision,09:38.3,Manager-000006,
,,,,
106,notify reject,13:05.8,Manager-000005,
,,,,
106,review request received,13:58.0,,
,,,,
106,Check for completeness,14:08.0,Clerk-000003,
,,,,
106,Perform checks,19:52.4,Clerk-000005,
,,,,
106,Make decision,30:27.9,Manager-000003,
,,,,
106,Notify accept,34:39.5,Manager-000001,
,,,,
106,Deliver card,35:14.0,Manager-000006,
,,,,
106,EVENT 13 END,55:27.1,,
,,,,
108,Check for completeness,43:29.7,Clerk-000002,
,,,,
108,New online application received,43:29.7,,
,,,,
108,Request info,50:00.0,Manager-000001,
,,,,
108,info received,03:24.2,,
,,,,
108,Check for completeness,03:34.2,Clerk-000002,
,,,,
108,Request info,04:12.0,Manager-000004,
,,,,
108,info received,33:18.4,,
,,,,
108,Check for completeness,33:28.4,Clerk-000003,
,,,,
108,Perform checks,37:29.6,Clerk-000002,
,,,,
108,Make decision,44:25.4,Manager-000003,
,,,,
108,notify reject,45:37.0,Manager-000001,
,,,,
108,time out,39:25.7,,
,,,,
108,EVENT 13 END,39:35.7,,
,,,,
110,Check for completeness,56:52.3,Clerk-000003,
,,,,
110,New online application received,56:52.3,,
,,,,
110,Perform checks,15:43.5,Clerk-000004,
,,,,
110,Make decision,20:46.7,Manager-000003,
,,,,
110,Notify accept,35:08.4,Manager-000002,
,,,,
110,Deliver card,36:22.7,Manager-000005,
,,,,
110,EVENT 13 END,39:42.4,,
,,,,
114,Check for completeness,09:09.8,Clerk-000003,
,,,,
114,New online application received,09:09.8,,
,,,,
114,Perform checks,11:27.2,Clerk-000001,
,,,,
114,Make decision,13:46.8,Manager-000001,
,,,,
114,Notify accept,35:56.0,Manager-000005,
,,,,
114,Deliver card,49:14.4,Manager-000003,
,,,,
114,EVENT 13 END,51:09.3,,
,,,,
118,Check for completeness,23:21.8,Clerk-000001,
,,,,
118,New online application received,23:21.8,,
,,,,
118,Perform checks,35:42.6,Clerk-000003,
,,,,
118,Make decision,43:07.8,Manager-000001,
,,,,
118,Notify accept,49:40.8,Manager-000006,
,,,,
118,Deliver card,54:42.5,Manager-000005,
,,,,
118,EVENT 13 END,54:47.2,,
,,,,
119,Check for completeness,50:14.0,Clerk-000005,
,,,,
119,New online application received,50:14.0,,
,,,,
119,Perform checks,58:00.4,Clerk-000004,
,,,,
119,Make decision,05:12.8,Manager-000001,
,,,,
119,notify reject,11:28.0,Manager-000006,
,,,,
119,time out,13:00.5,,
,,,,
119,EVENT 13 END,13:10.5,,
,,,,
123,Check for completeness,58:49.5,Clerk-000006,
,,,,
123,New online application received,58:49.5,,
,,,,
123,Perform checks,06:34.0,Clerk-000003,
,,,,
123,Make decision,20:40.2,Manager-000004,
,,,,
123,Notify accept,28:44.8,Manager-000001,
,,,,
123,Deliver card,32:08.3,Manager-000006,
,,,,
123,EVENT 13 END,38:38.1,,
,,,,
125,Check for completeness,17:49.4,Clerk-000006,
,,,,
125,New online application received,17:49.4,,
,,,,
125,Perform checks,25:47.7,Clerk-000005,
,,,,
125,Make decision,30:25.5,Manager-000006,
,,,,
125,notify reject,33:37.0,Manager-000005,
,,,,
125,review request received,36:22.5,,
,,,,
125,Check for completeness,36:32.5,Clerk-000004,
,,,,
125,Request info,46:39.0,Manager-000003,
,,,,
125,info received,48:45.6,,
,,,,
125,Check for completeness,48:55.6,Clerk-000001,
,,,,
125,Perform checks,51:18.1,Clerk-000006,
,,,,
125,Make decision,57:12.7,Manager-000001,
,,,,
125,notify reject,57:18.3,Manager-000006,
,,,,
125,time out,11:26.4,,
,,,,
125,EVENT 13 END,11:36.4,,
,,,,
127,Check for completeness,58:17.4,Clerk-000005,
,,,,
127,New online application received,58:17.4,,
,,,,
127,Request info,01:31.8,Manager-000005,
,,,,
127,info received,18:15.9,,
,,,,
127,Check for completeness,18:25.9,Clerk-000003,
,,,,
127,Request info,18:46.4,Manager-000002,
,,,,
127,info received,29:12.3,,
,,,,
127,Check for completeness,29:22.3,Clerk-000002,
,,,,
127,Perform checks,34:45.9,Clerk-000004,
,,,,
127,Make decision,42:36.5,Manager-000003,
,,,,
127,notify reject,45:36.0,Manager-000001,
,,,,
127,review request received,01:57.1,,
,,,,
127,Check for completeness,02:07.1,Clerk-000005,
,,,,
127,Perform checks,15:17.2,Clerk-000003,
,,,,
127,Make decision,35:46.6,Manager-000003,
,,,,
127,Notify accept,43:20.9,Manager-000004,
,,,,
127,Deliver card,04:00.9,Manager-000001,
,,,,
127,EVENT 13 END,15:07.2,,
,,,,
131,Check for completeness,50:29.8,Clerk-000003,
,,,,
131,New online application received,50:29.8,,
,,,,
131,Request info,57:20.0,Manager-000006,
,,,,
131,info received,24:31.2,,
,,,,
131,Check for completeness,24:41.2,Clerk-000004,
,,,,
131,Request info,27:42.2,Manager-000002,
,,,,
131,info received,35:11.6,,
,,,,
131,Check for completeness,35:21.6,Clerk-000001,
,,,,
131,Request info,57:35.1,Manager-000001,
,,,,
131,info received,58:48.3,,
,,,,
131,Check for completeness,58:58.3,Clerk-000005,
,,,,
131,Perform checks,01:56.6,Clerk-000002,
,,,,
131,Make decision,16:23.9,Manager-000002,
,,,,
131,notify reject,24:15.8,Manager-000003,
,,,,
131,time out,25:10.8,,
,,,,
131,EVENT 13 END,25:20.8,,
,,,,
138,Check for completeness,37:02.7,Clerk-000001,
,,,,
138,New online application received,37:02.7,,
,,,,
138,Perform checks,39:48.1,Clerk-000006,
,,,,
138,Make decision,48:12.3,Manager-000005,
,,,,
138,Notify accept,53:25.0,Manager-000002,
,,,,
138,Deliver card,55:24.1,Manager-000004,
,,,,
138,EVENT 13 END,08:08.9,,
,,,,
142,Check for completeness,00:08.4,Clerk-000005,
,,,,
142,New online application received,00:08.4,,
,,,,
142,Request info,01:24.6,Manager-000002,
,,,,
142,info received,02:34.3,,
,,,,
142,Check for completeness,02:44.3,Clerk-000002,
,,,,
142,Request info,09:00.7,Manager-000005,
,,,,
142,info received,21:41.4,,
,,,,
142,Check for completeness,21:51.4,Clerk-000003,
,,,,
142,Request info,43:13.2,Manager-000003,
,,,,
142,info received,45:14.3,,
,,,,
142,Check for completeness,45:24.3,Clerk-000004,
,,,,
142,Request info,50:43.3,Manager-000004,
,,,,
142,info received,51:14.2,,
,,,,
142,Check for completeness,51:24.2,Clerk-000001,
,,,,
142,Request info,54:23.6,Manager-000001,
,,,,
142,info received,54:40.9,,
,,,,
142,Check for completeness,54:50.9,Clerk-000005,
,,,,
142,Request info,07:38.1,Manager-000002,
,,,,
142,info received,10:00.8,,
,,,,
142,Check for completeness,10:10.8,Clerk-000002,
,,,,
142,Request info,24:46.4,Manager-000003,
,,,,
142,info received,47:14.6,,
,,,,
142,Check for completeness,47:24.6,Clerk-000002,
,,,,
142,Request info,06:33.7,Manager-000002,
,,,,
142,info received,12:57.3,,
,,,,
142,Check for completeness,13:07.3,Clerk-000001,
,,,,
142,Request info,15:32.0,Manager-000001,
,,,,
142,info received,19:06.3,,
,,,,
142,Check for completeness,19:16.3,Clerk-000006,
,,,,
142,Perform checks,23:50.3,Clerk-000002,
,,,,
142,Make decision,35:29.8,Manager-000005,
,,,,
142,notify reject,35:42.3,Manager-000004,
,,,,
142,time out,43:37.1,,
,,,,
142,EVENT 13 END,43:47.1,,
,,,,
143,Check for completeness,51:43.4,Clerk-000006,
,,,,
143,New online application received,51:43.4,,
,,,,
143,Request info,52:02.3,Manager-000006,
,,,,
143,info received,14:16.5,,
,,,,
143,Check for completeness,14:26.5,Clerk-000003,
,,,,
143,Request info,33:45.0,Manager-000001,
,,,,
143,info received,55:50.4,,
,,,,
143,Check for completeness,56:00.4,Clerk-000006,
,,,,
143,Request info,00:08.9,Manager-000005,
,,,,
143,info received,02:17.2,,
,,,,
143,Check for completeness,02:27.2,Clerk-000003,
,,,,
143,Perform checks,13:31.0,Clerk-000005,
,,,,
143,Make decision,28:17.2,Manager-000006,
,,,,
143,Notify accept,43:47.1,Manager-000001,
,,,,
143,Deliver card,20:31.2,Manager-000005,
,,,,
143,EVENT 13 END,20:45.4,,
,,,,
145,Check for completeness,14:16.4,Clerk-000004,
,,,,
145,New online application received,14:16.4,,
,,,,
145,Request info,14:29.3,Manager-000003,
,,,,
145,info received,34:16.8,,
,,,,
145,Check for completeness,34:26.8,Clerk-000003,
,,,,
145,Request info,43:44.8,Manager-000002,
,,,,
145,info received,53:46.3,,
,,,,
145,Check for completeness,53:56.3,Clerk-000004,
,,,,
145,Perform checks,06:16.1,Clerk-000001,
,,,,
145,Make decision,13:00.0,Manager-000003,
,,,,
145,notify reject,27:05.4,Manager-000004,
,,,,
145,review request received,43:25.4,,
,,,,
145,Check for completeness,43:35.4,Clerk-000006,
,,,,
145,Request info,44:44.4,Manager-000006,
,,,,
145,info received,58:27.6,,
,,,,
145,Check for completeness,58:37.6,Clerk-000005,
,,,,
145,Request info,06:46.4,Manager-000001,
,,,,
145,info received,37:07.2,,
,,,,
145,Check for completeness,37:17.2,Clerk-000004,
,,,,
145,Request info,03:00.9,Manager-000006,
,,,,
145,info received,35:57.4,,
,,,,
145,Check for completeness,36:07.4,Clerk-000001,
,,,,
145,Perform checks,43:24.7,Clerk-000006,
,,,,
145,Make decision,51:38.0,Manager-000005,
,,,,
145,Notify accept,19:10.9,Manager-000001,
,,,,
145,Deliver card,39:32.8,Manager-000004,
,,,,
145,EVENT 13 END,40:37.1,,
,,,,
148,Check for completeness,18:18.6,Clerk-000003,
,,,,
148,New online application received,18:18.6,,
,,,,
148,Perform checks,24:08.0,Clerk-000001,
,,,,
148,Make decision,25:35.8,Manager-000002,
,,,,
148,Notify accept,47:35.7,Manager-000005,
,,,,
148,Deliver card,49:41.3,Manager-000004,
,,,,
148,EVENT 13 END,50:44.6,,
,,,,
152,Check for completeness,30:40.7,Clerk-000004,
,,,,
152,New online application received,30:40.7,,
,,,,
152,Perform checks,30:57.1,Clerk-000005,
,,,,
152,Make decision,37:00.5,Manager-000003,
,,,,
152,notify reject,38:39.1,Manager-000006,
,,,,
152,time out,44:55.7,,
,,,,
152,EVENT 13 END,45:05.7,,
,,,,
168,Check for completeness,49:18.5,Clerk-000002,
,,,,
168,New online application received,49:18.5,,
,,,,
168,Perform checks,57:49.1,Clerk-000003,
,,,,
168,Make decision,00:37.5,Manager-000005,
,,,,
168,notify reject,04:16.6,Manager-000003,
,,,,
168,time out,16:04.4,,
,,,,
168,EVENT 13 END,16:14.4,,
,,,,
169,Check for completeness,01:45.7,Clerk-000005,
,,,,
169,New online application received,01:45.7,,
,,,,
169,Perform checks,05:19.3,Clerk-000006,
,,,,
169,Make decision,09:57.6,Manager-000002,
,,,,
169,Notify accept,20:09.8,Manager-000001,
,,,,
169,Deliver card,20:11.1,Manager-000005,
,,,,
169,EVENT 13 END,44:55.6,,
,,,,
177,Check for completeness,22:43.8,Clerk-000004,
,,,,
177,New online application received,22:43.8,,
,,,,
177,Request info,34:14.0,Manager-000006,
,,,,
177,info received,35:34.0,,
,,,,
177,Check for completeness,35:44.0,Clerk-000003,
,,,,
177,Perform checks,42:45.1,Clerk-000002,
,,,,
177,Make decision,50:18.3,Manager-000003,
,,,,
177,Notify accept,59:40.7,Manager-000006,
,,,,
177,Deliver card,28:45.1,Manager-000005,
,,,,
177,EVENT 13 END,32:45.4,,
,,,,
180,Check for completeness,40:09.9,Clerk-000004,
,,,,
180,New online application received,40:09.9,,
,,,,
180,Perform checks,48:13.8,Clerk-000001,
,,,,
180,Make decision,00:39.2,Manager-000004,
,,,,
180,notify reject,05:03.6,Manager-000003,
,,,,
180,review request received,06:55.5,,
,,,,
180,Check for completeness,07:05.5,Clerk-000005,
,,,,
180,Perform checks,19:45.7,Clerk-000001,
,,,,
180,Make decision,39:12.8,Manager-000004,
,,,,
180,Notify accept,44:36.7,Manager-000002,
,,,,
180,Deliver card,45:29.1,Manager-000006,
,,,,
180,EVENT 13 END,47:02.4,,
,,,,
185,Check for completeness,30:03.8,Clerk-000003,
,,,,
185,New online application received,30:03.8,,
,,,,
185,Request info,31:37.2,Manager-000006,
,,,,
185,info received,32:36.2,,
,,,,
185,Check for completeness,32:46.2,Clerk-000004,
,,,,
185,Perform checks,34:21.6,Clerk-000005,
,,,,
185,Make decision,41:31.9,Manager-000001,
,,,,
185,Notify accept,07:17.6,Manager-000006,
,,,,
185,Deliver card,22:12.9,Manager-000003,
,,,,
185,EVENT 13 END,32:38.4,,
,,,,
187,Check for completeness,18:55.1,Clerk-000001,
,,,,
187,New online application received,18:55.1,,
,,,,
187,Perform checks,19:47.0,Clerk-000005,
,,,,
187,Make decision,23:20.0,Manager-000005,
,,,,
187,notify reject,23:58.1,Manager-000004,
,,,,
187,review request received,12:05.8,,
,,,,
187,Check for completeness,12:15.8,Clerk-000003,
,,,,
187,Request info,20:18.2,Manager-000005,
,,,,
187,info received,42:38.8,,
,,,,
187,Check for completeness,42:48.8,Clerk-000005,
,,,,
187,Request info,09:51.3,Manager-000002,
,,,,
187,info received,24:03.4,,
,,,,
187,Check for completeness,24:13.4,Clerk-000002,
,,,,
187,Perform checks,25:34.0,Clerk-000004,
,,,,
187,Make decision,27:32.2,Manager-000001,
,,,,
187,notify reject,36:53.6,Manager-000004,
,,,,
187,time out,54:57.8,,
,,,,
187,EVENT 13 END,55:07.8,,
,,,,
189,Check for completeness,33:14.7,Clerk-000003,
,,,,
189,New online application received,33:14.7,,
,,,,
189,Perform checks,37:36.6,Clerk-000005,
,,,,
