Case,Activity,Timestamp,Resource,Injection,Aug,augmented_activity,semantic_reason,resource,case,diagnose
23.0,Make decision,NaT,Manager-000002,,0,,,,,
23.0,Deliver card,NaT,Manager-000001,,1,EVENT 13 END,Random swap,,,
23.0,EVENT 13 END,NaT,,,1,Deliver card,Random swap,,,
23.0,Make decision,NaT,Manager-000002,,1,Make decision,Random delete (for augmentation only),,,
24.0,Check for completeness,2025-05-31 06:13:48,Clerk-000004,,0,,,,,
24.0,New online application received,2025-05-31 06:13:48,,,0,,,,,
24.0,Check for completeness,2025-05-31 06:13:48,Clerk-000004,,1,Check for completeness,Random delete (for augmentation only),,,
24.0,Perform checks,2025-05-31 09:30:54,Clerk-000002,,0,,,,,
24.0,Make decision,2025-05-31 18:57:24,Manager-000004,,0,,,,,
24.0,Notify accept,2025-05-31 19:56:06,Manager-000002,,0,,,,,
24.0,Deliver card,2025-05-31 21:26:18,Manager-000003,,0,,,,,
24.0,EVENT 13 END,NaT,,,0,,,,,
25.0,EVENT 13 END,2025-05-31 05:45:42,,,0,,,,,
25.0,EVENT 13 END,2025-05-31 05:45:42,,,1,EVENT 13 END,Random delete (for augmentation only),,,
25.0,Check for completeness,2025-05-31 15:15:30,Clerk-000006,,0,,,,,
25.0,New online application received,2025-05-31 15:15:30,,,0,,,,,
25.0,Perform checks,NaT,Clerk-000005,,0,,,,,
25.0,Make decision,NaT,Manager-000006,,0,,,,,
25.0,Notify accept,NaT,Manager-000001,,0,,,,,
25.0,Deliver card,NaT,Manager-000002,,0,,,,,
25.0,Perform checks,NaT,Clerk-000005,,1,Make decision,Random swap,,,
25.0,Make decision,NaT,Manager-000006,,1,Perform checks,Random swap,,,
26.0,Make decision,2025-05-31 00:23:30,Manager-000004,,0,,,,,
26.0,Request info,2025-05-31 04:34:06,Manager-000003,,0,,,,,
26.0,info received,2025-05-31 04:42:42,,,0,,,,,
26.0,info received,2025-05-31 04:42:42,,,1,Check for completeness,Random swap,,,
26.0,Check for completeness,2025-05-31 04:52:42,Clerk-000006,,0,,,,,
26.0,Check for completeness,2025-05-31 04:52:42,Clerk-000006,,1,info received,Random swap,,,
26.0,Check for completeness,2025-05-31 04:52:42,Clerk-000006,,1,notify reject,Random swap,,,
26.0,notify reject,2025-05-31 07:29:48,Manager-000003,,0,,,,,
26.0,notify reject,2025-05-31 07:29:48,Manager-000003,,1,Check for completeness,Random swap,,,
26.0,time out,2025-05-31 10:28:36,,,0,,,,,
26.0,EVENT 13 END,2025-05-31 10:38:36,,,0,,,,,
26.0,Request info,2025-05-31 13:27:54,Manager-000006,,0,,,,,
26.0,Request info,2025-05-31 13:27:54,Manager-000006,,1,Request info,Random delete (for augmentation only),,,
26.0,review request received,2025-05-31 17:17:54,,,0,,,,,
26.0,review request received,2025-05-31 17:17:54,,,1,Check for completeness,Random swap,,,
26.0,Check for completeness,2025-05-31 17:27:54,Clerk-000004,,0,,,,,
26.0,Check for completeness,2025-05-31 17:27:54,Clerk-000004,,1,Check for completeness,Random delete (for augmentation only),,,
26.0,Check for completeness,2025-05-31 17:27:54,Clerk-000004,,1,review request received,Random swap,,,
26.0,Request info,2025-05-31 18:16:06,Manager-000006,,0,,,,,
26.0,info received,2025-05-31 21:03:36,,,0,,,,,
26.0,Check for completeness,2025-05-31 21:13:36,Clerk-000003,,0,,,,,
26.0,Check for completeness,2025-05-31 21:13:36,Clerk-000003,,1,Check for completeness,Random delete (for augmentation only),,,
26.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
26.0,New online application received,NaT,,,0,,,,,
26.0,Perform checks,NaT,Clerk-000004,,0,,,,,
26.0,info received,NaT,,,0,,,,,
26.0,Check for completeness,NaT,Clerk-000006,,0,,,,,
26.0,Request info,NaT,Manager-000005,,0,,,,,
26.0,Request info,NaT,Manager-000005,,0,,,,,
26.0,info received,NaT,,,0,,,,,
26.0,Check for completeness,NaT,Clerk-000002,,0,,,,,
26.0,Make decision,NaT,Manager-000005,,0,,,,,
26.0,notify reject,NaT,Manager-000004,,0,,,,,
26.0,Perform checks,NaT,Clerk-000001,,0,,,,,
26.0,info received,NaT,,,0,,,,,
26.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
39.0,Notify accept,2025-05-31 18:53:30,Manager-000001,,0,,,,,
39.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
39.0,New online application received,NaT,,,0,,,,,
39.0,Request info,NaT,Manager-000002,,0,,,,,
39.0,Deliver card,NaT,Manager-000004,,0,,,,,
39.0,info received,NaT,,,0,,,,,
39.0,Check for completeness,NaT,Clerk-000006,,0,,,,,
39.0,EVENT 13 END,NaT,,,0,,,,,
39.0,Perform checks,NaT,Clerk-000001,,0,,,,,
39.0,Make decision,NaT,Manager-000006,,0,,,,,
39.0,Check for completeness,NaT,Clerk-000004,,1,Check for completeness,Random delete (for augmentation only),,,
39.0,New online application received,NaT,,,1,Request info,Random swap,,,
39.0,Request info,NaT,Manager-000002,,1,New online application received,Random swap,,,
39.0,Request info,NaT,Manager-000002,,1,Deliver card,Random swap,,,
39.0,Deliver card,NaT,Manager-000004,,1,Request info,Random swap,,,
41.0,info received,2025-05-31 11:34:42,,,0,,,,,
41.0,Check for completeness,2025-05-31 11:44:42,Clerk-000006,,0,,,,,
41.0,Perform checks,2025-05-31 13:41:48,Clerk-000001,,0,,,,,
41.0,Make decision,2025-05-31 15:28:12,Manager-000001,,0,,,,,
41.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
41.0,New online application received,NaT,,,0,,,,,
41.0,Request info,NaT,Manager-000002,,0,,,,,
41.0,info received,NaT,,,0,,,,,
41.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
41.0,Request info,NaT,Manager-000006,,0,,,,,
41.0,Notify accept,NaT,Manager-000004,,0,,,,,
41.0,Deliver card,NaT,Manager-000005,,0,,,,,
41.0,EVENT 13 END,NaT,,,0,,,,,
41.0,Deliver card,NaT,Manager-000005,,1,Deliver card,Random delete (for augmentation only),,,
41.0,Check for completeness,NaT,Clerk-000004,,1,Request info,Random swap,,,
41.0,Request info,NaT,Manager-000006,,1,Check for completeness,Random swap,,,
45.0,EVENT 13 END,2025-05-31 13:55:36,,,0,,,,,
45.0,EVENT 13 END,2025-05-31 13:55:36,,,1,Check for completeness,Random swap,,,
45.0,Check for completeness,2025-05-31 18:12:12,Clerk-000002,,0,,,,,
45.0,New online application received,2025-05-31 18:12:12,,,0,,,,,
45.0,Check for completeness,2025-05-31 18:12:12,Clerk-000002,,1,EVENT 13 END,Random swap,,,
45.0,Perform checks,2025-05-31 21:51:30,Clerk-000003,,0,,,,,
45.0,Perform checks,NaT,Clerk-000005,,0,,,,,
45.0,Make decision,NaT,Manager-000005,,0,,,,,
45.0,Make decision,NaT,Manager-000003,,0,,,,,
45.0,notify reject,NaT,Manager-000006,,0,,,,,
45.0,review request received,NaT,,,0,,,,,
45.0,Check for completeness,NaT,Clerk-000005,,0,,,,,
45.0,Notify accept,NaT,Manager-000003,,0,,,,,
45.0,Request info,NaT,Manager-000004,,0,,,,,
45.0,Deliver card,NaT,Manager-000002,,0,,,,,
45.0,info received,NaT,,,0,,,,,
45.0,Check for completeness,NaT,Clerk-000002,,0,,,,,
45.0,Deliver card,NaT,Manager-000002,,1,info received,Random swap,,,
45.0,info received,NaT,,,1,Deliver card,Random swap,,,
45.0,Make decision,NaT,Manager-000005,,1,Make decision,Random swap,,,
45.0,Make decision,NaT,Manager-000003,,1,Make decision,Random swap,,,
53.0,notify reject,2025-05-31 02:04:00,Manager-000002,,0,,,,,
53.0,time out,2025-05-31 04:49:54,,,0,,,,,
53.0,EVENT 13 END,2025-05-31 04:59:54,,,0,,,,,
53.0,Check for completeness,NaT,Clerk-000005,,0,,,,,
53.0,New online application received,NaT,,,0,,,,,
53.0,Perform checks,NaT,Clerk-000002,,0,,,,,
53.0,Make decision,NaT,Manager-000006,,0,,,,,
53.0,Perform checks,NaT,Clerk-000002,,1,Make decision,Random swap,,,
53.0,Make decision,NaT,Manager-000006,,1,Perform checks,Random swap,,,
54.0,Notify accept,2025-05-31 02:06:30,Manager-000002,,0,,,,,
54.0,Deliver card,2025-05-31 05:44:24,Manager-000006,,0,,,,,
54.0,EVENT 13 END,2025-05-31 06:41:06,,,0,,,,,
54.0,EVENT 13 END,2025-05-31 06:41:06,,,1,EVENT 13 END,Random delete (for augmentation only),,,
54.0,Perform checks,NaT,Clerk-000002,,0,,,,,
54.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
54.0,New online application received,NaT,,,0,,,,,
54.0,Request info,NaT,Manager-000001,,0,,,,,
54.0,info received,NaT,,,0,,,,,
54.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
54.0,Make decision,NaT,Manager-000005,,0,,,,,
54.0,Check for completeness,NaT,Clerk-000003,,1,New online application received,Random swap,,,
54.0,New online application received,NaT,,,1,Check for completeness,Random swap,,,
58.0,Request info,2025-05-31 07:32:18,Manager-000005,,0,,,,,
58.0,Make decision,2025-05-31 08:37:48,Manager-000005,,0,,,,,
58.0,Check for completeness,2025-05-31 09:22:42,Clerk-000001,,0,,,,,
58.0,New online application received,2025-05-31 09:22:42,,,0,,,,,
58.0,info received,2025-05-31 10:28:36,,,0,,,,,
58.0,info received,2025-05-31 10:28:36,,,1,info received,Random delete (for augmentation only),,,
58.0,Check for completeness,2025-05-31 10:38:36,Clerk-000001,,0,,,,,
58.0,Request info,2025-05-31 12:11:12,Manager-000001,,0,,,,,
58.0,Notify accept,2025-05-31 13:21:42,Manager-000002,,0,,,,,
58.0,Deliver card,2025-05-31 15:19:24,Manager-000006,,0,,,,,
58.0,Deliver card,2025-05-31 15:19:24,Manager-000006,,1,info received,Random swap,,,
58.0,info received,2025-05-31 16:03:12,,,0,,,,,
58.0,info received,2025-05-31 16:03:12,,,1,Deliver card,Random swap,,,
58.0,Check for completeness,2025-05-31 16:13:06,Clerk-000006,,0,,,,,
58.0,EVENT 13 END,NaT,,,0,,,,,
58.0,Request info,NaT,Manager-000002,,0,,,,,
58.0,info received,NaT,,,0,,,,,
58.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
58.0,Request info,NaT,Manager-000003,,0,,,,,
58.0,info received,NaT,,,0,,,,,
58.0,Check for completeness,NaT,Clerk-000002,,0,,,,,
58.0,Perform checks,NaT,Clerk-000001,,0,,,,,
58.0,EVENT 13 END,NaT,,,1,EVENT 13 END,Random delete (for augmentation only),,,
60.0,Deliver card,2025-05-31 10:13:42,Manager-000004,,0,,,,,
60.0,Request info,2025-05-31 21:41:12,Manager-000002,,0,,,,,
60.0,EVENT 13 END,NaT,,,0,,,,,
60.0,info received,NaT,,,0,,,,,
60.0,Check for completeness,NaT,Clerk-000001,,0,,,,,
60.0,Perform checks,NaT,Clerk-000003,,0,,,,,
60.0,Make decision,NaT,Manager-000001,,0,,,,,
60.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
60.0,New online application received,NaT,,,0,,,,,
60.0,Notify accept,NaT,Manager-000006,,0,,,,,
60.0,Request info,NaT,Manager-000004,,0,,,,,
60.0,info received,NaT,,,0,,,,,
60.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
60.0,EVENT 13 END,NaT,,,1,info received,Random swap,,,
60.0,info received,NaT,,,1,EVENT 13 END,Random swap,,,
60.0,Request info,NaT,Manager-000004,,1,info received,Random swap,,,
60.0,info received,NaT,,,1,Request info,Random swap,,,
61.0,Perform checks,2025-05-31 11:10:48,Clerk-000002,,0,,,,,
61.0,Make decision,2025-05-31 17:28:06,Manager-000003,,0,,,,,
61.0,Notify accept,NaT,Manager-000005,,0,,,,,
61.0,Check for completeness,NaT,Clerk-000005,,0,,,,,
61.0,New online application received,NaT,,,0,,,,,
61.0,Deliver card,NaT,Manager-000003,,0,,,,,
61.0,EVENT 13 END,NaT,,,0,,,,,
61.0,New online application received,NaT,,,1,New online application received,Random delete (for augmentation only),,,
64.0,Check for completeness,NaT,Clerk-000002,,0,,,,,
64.0,New online application received,NaT,,,0,,,,,
64.0,Perform checks,NaT,Clerk-000005,,0,,,,,
64.0,Make decision,NaT,Manager-000002,,0,,,,,
64.0,notify reject,NaT,Manager-000003,,0,,,,,
64.0,time out,NaT,,,0,,,,,
64.0,EVENT 13 END,NaT,,,0,,,,,
64.0,Check for completeness,NaT,Clerk-000002,,1,New online application received,Random swap,,,
64.0,New online application received,NaT,,,1,Check for completeness,Random swap,,,
64.0,time out,NaT,,,1,EVENT 13 END,Random swap,,,
64.0,EVENT 13 END,NaT,,,1,time out,Random swap,,,
68.0,Check for completeness,2025-05-31 09:00:24,Clerk-000003,,0,,,,,
68.0,New online application received,2025-05-31 09:00:24,,,0,,,,,
68.0,Make decision,2025-05-31 12:03:54,Manager-000002,,0,,,,,
68.0,Perform checks,2025-05-31 14:13:24,Clerk-000001,,0,,,,,
68.0,Notify accept,2025-05-31 16:06:06,Manager-000003,,0,,,,,
68.0,Notify accept,2025-05-31 16:06:06,Manager-000003,,1,Make decision,Random swap,,,
68.0,Make decision,NaT,Manager-000006,,0,,,,,
68.0,Deliver card,NaT,Manager-000004,,0,,,,,
68.0,notify reject,NaT,Manager-000005,,0,,,,,
68.0,EVENT 13 END,NaT,,,0,,,,,
68.0,review request received,NaT,,,0,,,,,
68.0,Check for completeness,NaT,Clerk-000006,,0,,,,,
68.0,Perform checks,NaT,Clerk-000002,,0,,,,,
68.0,Make decision,NaT,Manager-000006,,1,Notify accept,Random swap,,,
68.0,Check for completeness,NaT,Clerk-000006,,1,Perform checks,Random swap,,,
68.0,Perform checks,NaT,Clerk-000002,,1,Check for completeness,Random swap,,,
68.0,Make decision,NaT,Manager-000006,,1,Make decision,Random delete (for augmentation only),,,
73.0,info received,2025-05-31 04:14:42,,,0,,,,,
73.0,Check for completeness,2025-05-31 04:24:42,Clerk-000002,,0,,,,,
73.0,Check for completeness,2025-05-31 04:24:42,Clerk-000002,,1,info received,Random swap,,,
73.0,info received,2025-05-31 09:10:00,,,0,,,,,
73.0,info received,2025-05-31 09:10:00,,,1,Check for completeness,Random swap,,,
73.0,Check for completeness,2025-05-31 09:20:00,Clerk-000004,,0,,,,,
73.0,Perform checks,2025-05-31 09:25:54,Clerk-000005,,0,,,,,
73.0,Make decision,2025-05-31 12:05:18,Manager-000001,,0,,,,,
73.0,Make decision,2025-05-31 12:05:18,Manager-000001,,1,Make decision,Random delete (for augmentation only),,,
73.0,notify reject,2025-05-31 19:46:24,Manager-000005,,0,,,,,
73.0,review request received,2025-05-31 23:09:24,,,0,,,,,
73.0,Check for completeness,2025-05-31 23:19:24,Clerk-000003,,0,,,,,
73.0,Perform checks,NaT,Clerk-000005,,0,,,,,
73.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
73.0,New online application received,NaT,,,0,,,,,
73.0,Make decision,NaT,Manager-000003,,0,,,,,
73.0,notify reject,NaT,Manager-000006,,0,,,,,
73.0,Request info,NaT,Manager-000002,,0,,,,,
73.0,Request info,NaT,Manager-000005,,0,,,,,
73.0,time out,NaT,,,0,,,,,
73.0,EVENT 13 END,NaT,,,0,,,,,
73.0,time out,NaT,,,1,time out,Random delete (for augmentation only),,,
85.0,Check for completeness,2025-05-31 13:16:54,Clerk-000005,,0,,,,,
85.0,New online application received,2025-05-31 13:16:54,,,0,,,,,
85.0,Request info,2025-05-31 13:28:12,Manager-000005,,0,,,,,
85.0,Request info,2025-05-31 14:57:48,Manager-000005,,0,,,,,
85.0,info received,2025-05-31 17:51:24,,,0,,,,,
85.0,Check for completeness,2025-05-31 18:01:24,Clerk-000003,,0,,,,,
85.0,Check for completeness,2025-05-31 18:01:24,Clerk-000003,,1,Check for completeness,Random delete (for augmentation only),,,
85.0,Perform checks,2025-05-31 20:40:00,Clerk-000004,,0,,,,,
85.0,Make decision,NaT,Manager-000005,,0,,,,,
85.0,Notify accept,NaT,Manager-000006,,0,,,,,
85.0,info received,NaT,,,0,,,,,
85.0,Check for completeness,NaT,Clerk-000001,,0,,,,,
85.0,Deliver card,NaT,Manager-000004,,0,,,,,
85.0,EVENT 13 END,NaT,,,0,,,,,
85.0,EVENT 13 END,NaT,,,1,EVENT 13 END,Random delete (for augmentation only),,,
89.0,time out,2025-05-31 02:33:18,,,0,,,,,
89.0,EVENT 13 END,2025-05-31 02:43:18,,,0,,,,,
89.0,Check for completeness,2025-05-31 05:18:24,Clerk-000002,,0,,,,,
89.0,New online application received,2025-05-31 05:18:24,,,0,,,,,
89.0,Request info,2025-05-31 07:16:18,Manager-000004,,0,,,,,
89.0,info received,2025-05-31 09:33:18,,,0,,,,,
89.0,info received,2025-05-31 09:33:18,,,1,Check for completeness,Random swap,,,
89.0,Check for completeness,2025-05-31 09:43:18,Clerk-000004,,0,,,,,
89.0,Check for completeness,2025-05-31 09:43:18,Clerk-000004,,1,info received,Random swap,,,
89.0,Perform checks,2025-05-31 12:01:12,Clerk-000005,,0,,,,,
89.0,Perform checks,2025-05-31 12:01:12,Clerk-000005,,1,Make decision,Random swap,,,
89.0,Make decision,NaT,Manager-000006,,0,,,,,
89.0,notify reject,NaT,Manager-000003,,0,,,,,
89.0,Make decision,NaT,Manager-000006,,1,Perform checks,Random swap,,,
97.0,Notify accept,2025-05-31 03:50:24,Manager-000003,,0,,,,,
97.0,Deliver card,2025-05-31 05:08:42,Manager-000005,,0,,,,,
97.0,EVENT 13 END,2025-05-31 12:11:18,,,0,,,,,
97.0,EVENT 13 END,2025-05-31 12:11:18,,,1,Check for completeness,Random swap,,,
97.0,Check for completeness,2025-05-31 18:44:42,Clerk-000003,,0,,,,,
97.0,New online application received,2025-05-31 18:44:42,,,0,,,,,
97.0,Check for completeness,2025-05-31 18:44:42,Clerk-000003,,1,EVENT 13 END,Random swap,,,
97.0,Perform checks,NaT,Clerk-000005,,0,,,,,
97.0,Make decision,NaT,Manager-000001,,0,,,,,
99.0,Deliver card,2025-05-31 07:31:30,Manager-000006,,0,,,,,
99.0,Check for completeness,2025-05-31 15:58:54,Clerk-000002,,0,,,,,
99.0,New online application received,2025-05-31 15:58:54,,,0,,,,,
99.0,Request info,NaT,Manager-000003,,0,,,,,
99.0,EVENT 13 END,NaT,,,0,,,,,
99.0,info received,NaT,,,0,,,,,
99.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
99.0,Request info,NaT,Manager-000004,,0,,,,,
99.0,info received,NaT,,,0,,,,,
99.0,Check for completeness,NaT,Clerk-000005,,0,,,,,
99.0,Make decision,NaT,Manager-000005,,0,,,,,
99.0,Notify accept,NaT,Manager-000004,,0,,,,,
99.0,Perform checks,NaT,Clerk-000006,,0,,,,,
99.0,Notify accept,NaT,Manager-000004,,1,Perform checks,Random swap,,,
99.0,Perform checks,NaT,Clerk-000006,,1,Notify accept,Random swap,,,
99.0,Request info,NaT,Manager-000004,,1,info received,Random swap,,,
99.0,info received,NaT,,,1,Request info,Random swap,,,
100.0,Perform checks,2025-05-31 02:10:24,Clerk-000001,,0,,,,,
100.0,Make decision,2025-05-31 04:14:48,Manager-000006,,0,,,,,
100.0,Make decision,2025-05-31 04:14:48,Manager-000006,,1,notify reject,Random swap,,,
100.0,notify reject,2025-05-31 14:49:00,Manager-000002,,0,,,,,
100.0,notify reject,2025-05-31 14:49:00,Manager-000002,,1,Make decision,Random swap,,,
100.0,time out,2025-05-31 15:17:06,,,0,,,,,
100.0,EVENT 13 END,2025-05-31 15:27:06,,,0,,,,,
100.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
100.0,New online application received,NaT,,,0,,,,,
100.0,New online application received,NaT,,,1,New online application received,Random delete (for augmentation only),,,
101.0,Check for completeness,2025-05-31 15:16:00,Clerk-000002,,0,,,,,
101.0,New online application received,2025-05-31 15:16:00,,,0,,,,,
101.0,New online application received,2025-05-31 15:16:00,,,1,New online application received,Random delete (for augmentation only),,,
101.0,Perform checks,2025-05-31 16:25:42,Clerk-000003,,0,,,,,
101.0,Perform checks,2025-05-31 16:25:42,Clerk-000003,,1,Make decision,Random swap,,,
101.0,Make decision,2025-05-31 22:43:24,Manager-000001,,0,,,,,
101.0,Make decision,2025-05-31 22:43:24,Manager-000001,,1,Perform checks,Random swap,,,
101.0,notify reject,NaT,Manager-000003,,0,,,,,
101.0,time out,NaT,,,0,,,,,
101.0,EVENT 13 END,NaT,,,0,,,,,
106.0,Make decision,2025-05-31 09:38:18,Manager-000006,,0,,,,,
106.0,notify reject,2025-05-31 13:05:48,Manager-000005,,0,,,,,
106.0,review request received,2025-05-31 13:58:00,,,0,,,,,
106.0,Check for completeness,2025-05-31 14:08:00,Clerk-000003,,0,,,,,
106.0,Check for completeness,2025-05-31 14:08:00,Clerk-000003,,1,Check for completeness,Random delete (for augmentation only),,,
106.0,Perform checks,2025-05-31 19:52:24,Clerk-000005,,0,,,,,
106.0,Perform checks,2025-05-31 19:52:24,Clerk-000005,,1,Make decision,Random swap,,,
106.0,Make decision,NaT,Manager-000003,,0,,,,,
106.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
106.0,New online application received,NaT,,,0,,,,,
106.0,Notify accept,NaT,Manager-000001,,0,,,,,
106.0,Deliver card,NaT,Manager-000006,,0,,,,,
106.0,EVENT 13 END,NaT,,,0,,,,,
106.0,Perform checks,NaT,Clerk-000006,,0,,,,,
106.0,Notify accept,NaT,Manager-000001,,1,Notify accept,Random delete (for augmentation only),,,
106.0,Make decision,NaT,Manager-000003,,1,Perform checks,Random swap,,,
108.0,info received,2025-05-31 03:24:12,,,0,,,,,
108.0,Check for completeness,2025-05-31 03:34:12,Clerk-000002,,0,,,,,
108.0,Check for completeness,2025-05-31 03:34:12,Clerk-000002,,1,Check for completeness,Random delete (for augmentation only),,,
108.0,Request info,2025-05-31 04:12:00,Manager-000004,,0,,,,,
108.0,info received,NaT,,,0,,,,,
108.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
108.0,Perform checks,NaT,Clerk-000002,,0,,,,,
108.0,time out,NaT,,,0,,,,,
108.0,EVENT 13 END,NaT,,,0,,,,,
108.0,Check for completeness,NaT,Clerk-000002,,0,,,,,
108.0,New online application received,NaT,,,0,,,,,
108.0,Make decision,NaT,Manager-000003,,0,,,,,
108.0,notify reject,NaT,Manager-000001,,0,,,,,
108.0,Request info,NaT,Manager-000001,,0,,,,,
108.0,Check for completeness,NaT,Clerk-000002,,1,Check for completeness,Random delete (for augmentation only),,,
108.0,EVENT 13 END,NaT,,,1,Check for completeness,Random swap,,,
108.0,Check for completeness,NaT,Clerk-000002,,1,EVENT 13 END,Random swap,,,
110.0,Perform checks,2025-05-31 15:43:30,Clerk-000004,,0,,,,,
110.0,Make decision,2025-05-31 20:46:42,Manager-000003,,0,,,,,
110.0,Notify accept,NaT,Manager-000002,,0,,,,,
110.0,Deliver card,NaT,Manager-000005,,0,,,,,
110.0,EVENT 13 END,NaT,,,0,,,,,
110.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
110.0,New online application received,NaT,,,0,,,,,
114.0,Check for completeness,2025-05-31 09:09:48,Clerk-000003,,0,,,,,
114.0,New online application received,2025-05-31 09:09:48,,,0,,,,,
114.0,Perform checks,2025-05-31 11:27:12,Clerk-000001,,0,,,,,
114.0,Make decision,2025-05-31 13:46:48,Manager-000001,,0,,,,,
114.0,Notify accept,NaT,Manager-000005,,0,,,,,
114.0,Deliver card,NaT,Manager-000003,,0,,,,,
114.0,EVENT 13 END,NaT,,,0,,,,,
114.0,Deliver card,NaT,Manager-000003,,1,Deliver card,Random delete (for augmentation only),,,
118.0,Check for completeness,2025-05-31 23:21:48,Clerk-000001,,0,,,,,
118.0,New online application received,2025-05-31 23:21:48,,,0,,,,,
118.0,Perform checks,NaT,Clerk-000003,,0,,,,,
